subject_id,condition_order,condition,sub_block_1_target,sub_block_2_target,sub_block_3_target
sub-24,1,chewing,4,8,0
sub-24,2,emi,8,4,0
sub-24,3,acoustic,4,0,8
sub-24,4,control,0,4,8
sub-25,1,acoustic,4,0,8
sub-25,2,control,4,0,8
sub-25,3,chewing,4,8,0
sub-25,4,emi,0,4,8
sub-26,1,control,0,8,4
sub-26,2,chewing,0,4,8
sub-26,3,emi,8,0,4
sub-26,4,acoustic,8,0,4
sub-27,1,emi,0,8,4
sub-27,2,acoustic,0,4,8
sub-27,3,control,8,0,4
sub-27,4,chewing,0,8,4
sub-28,1,chewing,8,0,4
sub-28,2,emi,8,0,4
sub-28,3,acoustic,0,4,8
sub-28,4,control,8,0,4
sub-29,1,acoustic,0,4,8
sub-29,2,control,8,4,0
sub-29,3,chewing,8,4,0
sub-29,4,emi,4,8,0
sub-30,1,control,8,4,0
sub-30,2,chewing,8,0,4
sub-30,3,emi,4,8,0
sub-30,4,acoustic,4,8,0
sub-31,1,emi,0,4,8
sub-31,2,acoustic,0,8,4
sub-31,3,control,8,0,4
sub-31,4,chewing,0,4,8
sub-32,1,chewing,8,0,4
sub-32,2,emi,0,4,8
sub-32,3,acoustic,0,8,4
sub-32,4,control,0,4,8
sub-33,1,acoustic,0,4,8
sub-33,2,control,0,4,8
sub-33,3,chewing,4,0,8
sub-33,4,emi,0,8,4
sub-34,1,control,4,8,0
sub-34,2,chewing,4,8,0
sub-34,3,emi,4,8,0
sub-34,4,acoustic,8,0,4
sub-35,1,emi,8,0,4
sub-35,2,acoustic,0,4,8
sub-35,3,control,4,8,0
sub-35,4,chewing,4,0,8
sub-36,1,chewing,4,8,0
sub-36,2,emi,8,4,0
sub-36,3,acoustic,0,4,8
sub-36,4,control,4,8,0
sub-37,1,acoustic,0,4,8
sub-37,2,control,4,8,0
sub-37,3,chewing,4,0,8
sub-37,4,emi,8,4,0
sub-38,1,control,8,4,0
sub-38,2,chewing,4,0,8
sub-38,3,emi,8,4,0
sub-38,4,acoustic,8,0,4
sub-39,1,emi,4,8,0
sub-39,2,acoustic,0,4,8
sub-39,3,control,0,8,4
sub-39,4,chewing,4,8,0
sub-40,1,chewing,0,4,8
sub-40,2,emi,8,4,0
sub-40,3,acoustic,0,4,8
sub-40,4,control,4,0,8
sub-41,1,acoustic,0,8,4
sub-41,2,control,0,8,4
sub-41,3,chewing,4,0,8
sub-41,4,emi,4,0,8
sub-42,1,control,0,4,8
sub-42,2,chewing,8,4,0
sub-42,3,emi,0,4,8
sub-42,4,acoustic,0,4,8
sub-43,1,emi,4,8,0
sub-43,2,acoustic,0,8,4
sub-43,3,control,4,0,8
sub-43,4,chewing,8,4,0
sub-44,1,chewing,8,4,0
sub-44,2,emi,8,4,0
sub-44,3,acoustic,8,0,4
sub-44,4,control,8,4,0
sub-45,1,acoustic,4,8,0
sub-45,2,control,0,4,8
sub-45,3,chewing,8,4,0
sub-45,4,emi,0,8,4
sub-46,1,control,4,0,8
sub-46,2,chewing,4,8,0
sub-46,3,emi,4,8,0
sub-46,4,acoustic,4,0,8
sub-47,1,emi,4,0,8
sub-47,2,acoustic,0,4,8
sub-47,3,control,0,4,8
sub-47,4,chewing,4,8,0
sub-48,1,chewing,0,8,4
sub-48,2,emi,0,4,8
sub-48,3,acoustic,4,0,8
sub-48,4,control,4,0,8
sub-49,1,acoustic,8,4,0
sub-49,2,control,0,8,4
sub-49,3,chewing,8,0,4
sub-49,4,emi,0,8,4
sub-50,1,control,0,8,4
sub-50,2,chewing,0,4,8
sub-50,3,emi,4,8,0
sub-50,4,acoustic,8,4,0
sub-51,1,emi,4,8,0
sub-51,2,acoustic,4,8,0
sub-51,3,control,0,4,8
sub-51,4,chewing,0,8,4
sub-52,1,chewing,8,4,0
sub-52,2,emi,8,4,0
sub-52,3,acoustic,4,0,8
sub-52,4,control,4,0,8
sub-53,1,acoustic,0,8,4
sub-53,2,control,8,0,4
sub-53,3,chewing,4,0,8
sub-53,4,emi,4,8,0
sub-54,1,control,0,8,4
sub-54,2,chewing,4,8,0
sub-54,3,emi,8,0,4
sub-54,4,acoustic,0,4,8
sub-55,1,emi,4,8,0
sub-55,2,acoustic,4,0,8
sub-55,3,control,4,8,0
sub-55,4,chewing,0,4,8
sub-56,1,chewing,4,8,0
sub-56,2,emi,8,4,0
sub-56,3,acoustic,4,8,0
sub-56,4,control,4,8,0
sub-57,1,acoustic,4,8,0
sub-57,2,control,4,8,0
sub-57,3,chewing,4,8,0
sub-57,4,emi,8,4,0
sub-58,1,control,4,8,0
sub-58,2,chewing,4,8,0
sub-58,3,emi,4,0,8
sub-58,4,acoustic,8,4,0
sub-59,1,emi,0,8,4
sub-59,2,acoustic,4,8,0
sub-59,3,control,4,0,8
sub-59,4,chewing,8,0,4
sub-60,1,chewing,8,0,4
sub-60,2,emi,4,0,8
sub-60,3,acoustic,8,0,4
sub-60,4,control,0,4,8
